ReservationID,GuestID,BookingTime,PartySize,Channel,TableID,Status,CheckInTime
R00058,G2104,14-01-2025 15:48,4,App,T03,Confirmed,14-01-2025 15:47
R00059,G2084,25-01-2025 11:26,8,Phone,T02,Confirmed,25-01-2025 11:17
R00060,G0760,11-06-2025 15:11,6,App,T13,Cancelled,NULL
R00061,G1775,13-02-2025 14:26,5,Web,T07,Confirmed,13-02-2025 14:23
R00062,G1827,20-06-2025 17:06,1,Kiosk,T01,Confirmed,20-06-2025 17:05
R00063,G1002,09-01-2025 18:05,1,Kiosk,T15,Confirmed,09-01-2025 17:56
R00064,G1780,23-02-2025 16:32,5,Web,T09,Confirmed,23-02-2025 16:26
R00065,G2748,25-04-2025 21:48,1,Phone,T04,Confirmed,25-04-2025 21:41
R00066,G0743,02-03-2025 14:54,8,Phone,T14,Confirmed,02-03-2025 14:46
R00067,G2845,08-05-2025 20:25,8,Web,T04,Confirmed,08-05-2025 20:15
R00068,G1109,13-03-2025 10:24,5,Kiosk,T06,Confirmed,13-03-2025 10:15
R00069,G2568,01-01-2025 14:37,5,Web,T20,Confirmed,01-01-2025 14:37
R00070,G1616,30-06-2025 10:31,2,App,T20,Confirmed,30-06-2025 10:26
R00071,G2435,19-03-2025 10:58,2,Kiosk,T06,Confirmed,19-03-2025 10:48
R00072,G2088,11-05-2025 19:07,3,Phone,T03,Confirmed,11-05-2025 18:59
R00073,G0277,18-03-2025 22:35,4,Phone,T12,Confirmed,18-03-2025 22:25
R00074,G0524,15-02-2025 11:45,6,App,T04,Confirmed,15-02-2025 11:44
R00075,G2054,05-05-2025 11:31,2,Web,T10,Confirmed,05-05-2025 11:22
R00076,G0325,09-02-2025 17:07,6,Web,T04,Confirmed,09-02-2025 16:59
R00077,G0232,02-06-2025 22:17,4,Phone,T05,Confirmed,02-06-2025 22:10
R00078,G0435,31-01-2025 22:15,4,App,T03,Confirmed,31-01-2025 22:06
R00079,G0764,12-02-2025 11:47,4,Phone,T08,Confirmed,12-02-2025 11:47
R00080,G2714,23-05-2025 17:40,6,Phone,T15,Cancelled,NULL
R00081,G2471,23-01-2025 14:04,5,Web,T02,Confirmed,23-01-2025 13:56
R00082,G0971,15-01-2025 20:00,4,Phone,T07,Confirmed,15-01-2025 19:50
R00083,G1466,04-02-2025 13:21,8,App,T20,No-Show,NULL
R00084,G2633,27-05-2025 10:29,7,Kiosk,T10,No-Show,NULL
R00085,G1663,18-04-2025 17:04,2,Web,T05,No-Show,NULL
R00086,G0114,31-03-2025 12:53,5,App,T18,No-Show,NULL
R00087,G0377,21-05-2025 10:11,3,Phone,T06,Confirmed,21-05-2025 10:03
R00088,G1517,02-05-2025 11:30,1,Web,T02,Confirmed,02-05-2025 11:29
R00089,G0048,01-03-2025 18:53,2,Web,T04,Confirmed,01-03-2025 18:50
R00090,G1331,03-02-2025 11:37,7,App,T08,Confirmed,03-02-2025 11:37
R00091,G0622,28-01-2025 11:09,6,Web,T12,Cancelled,NULL
R00092,G1377,09-01-2025 22:28,7,Kiosk,T08,Cancelled,NULL
R00093,G0114,15-06-2025 21:49,8,Phone,T16,Confirmed,15-06-2025 21:46
R00094,G2391,25-04-2025 15:38,5,Web,T20,Confirmed,25-04-2025 15:30
R00095,G1869,16-01-2025 11:45,6,App,T05,Confirmed,16-01-2025 11:41
R00096,G0300,18-05-2025 15:14,5,Kiosk,T18,No-Show,NULL
R00097,G0883,29-04-2025 11:40,3,Web,T09,No-Show,NULL
R00098,G2646,08-02-2025 22:02,8,Web,T09,Confirmed,08-02-2025 21:54
R00099,G1764,03-06-2025 13:29,3,Web,T18,Confirmed,03-06-2025 13:26
R00100,G1254,22-06-2025 19:22,7,App,T17,Confirmed,22-06-2025 19:22
R00101,G1148,24-01-2025 15:19,7,Phone,T02,Confirmed,24-01-2025 15:17
R00102,G2563,26-06-2025 18:26,5,Phone,T20,Confirmed,26-06-2025 18:25
R00103,G2227,02-04-2025 21:07,7,App,T05,Confirmed,02-04-2025 21:04
R00104,G2213,07-03-2025 12:38,7,Phone,T04,Confirmed,07-03-2025 12:30
R00105,G2168,15-02-2025 13:26,8,Web,T15,Confirmed,15-02-2025 13:17
R00106,G0288,31-03-2025 10:36,4,Web,T01,No-Show,NULL
R00107,G0980,29-04-2025 20:55,4,Kiosk,T02,Confirmed,29-04-2025 20:48
R00108,G0993,17-06-2025 11:38,3,Kiosk,T20,Cancelled,NULL
R00109,G1904,29-01-2025 12:37,3,Phone,T12,Cancelled,NULL
R00110,G0377,30-06-2025 14:28,6,App,T19,Confirmed,30-06-2025 14:20
R00111,G0315,01-02-2025 18:42,8,Phone,T18,Confirmed,01-02-2025 18:40
R00112,G0791,27-04-2025 17:10,1,Web,T10,Confirmed,27-04-2025 17:04
R00113,G0234,02-02-2025 11:09,3,App,T03,Confirmed,02-02-2025 11:00
R00114,G0658,23-06-2025 18:37,8,App,T03,No-Show,NULL
R00115,G2753,11-02-2025 15:59,7,Phone,T16,No-Show,NULL
R00116,G2777,06-04-2025 18:00,2,Kiosk,T18,Confirmed,06-04-2025 17:56
R00117,G0110,15-05-2025 19:32,2,Web,T03,No-Show,NULL
R00118,G1083,06-03-2025 17:38,7,Kiosk,T11,No-Show,NULL
R00119,G1136,25-01-2025 15:51,8,Kiosk,T17,Confirmed,25-01-2025 15:41
R00120,G2595,11-02-2025 17:32,6,Kiosk,T17,Confirmed,11-02-2025 17:24
R00121,G1889,30-03-2025 14:48,5,App,T19,Confirmed,30-03-2025 14:41
R00122,G0060,14-05-2025 22:33,8,Web,T07,No-Show,NULL
R00123,G2129,18-02-2025 12:16,5,App,T05,Confirmed,18-02-2025 12:09
R00124,G1933,02-05-2025 20:45,4,App,T16,Cancelled,NULL
R00125,G2172,11-02-2025 12:20,7,Kiosk,T15,Confirmed,11-02-2025 12:10
R00126,G2740,13-04-2025 20:13,1,Phone,T20,No-Show,NULL
R00127,G0498,12-05-2025 17:59,1,Kiosk,T02,No-Show,NULL
R00128,G1424,08-06-2025 20:40,3,Kiosk,T10,Confirmed,08-06-2025 20:31
R00129,G2363,18-05-2025 16:27,2,Kiosk,T03,No-Show,NULL
R00130,G0428,01-05-2025 12:18,4,Phone,T08,Confirmed,01-05-2025 12:16
R00131,G2610,12-05-2025 22:00,8,App,T11,No-Show,NULL
R00132,G1713,30-04-2025 18:15,8,Kiosk,T09,Confirmed,30-04-2025 18:08
R00133,G1800,14-06-2025 10:57,7,App,T02,Confirmed,14-06-2025 10:53
R00134,G1525,07-01-2025 14:22,7,Phone,T10,Confirmed,07-01-2025 14:22
R00135,G1039,07-04-2025 12:03,2,Kiosk,T17,Confirmed,07-04-2025 11:59
R00136,G1498,02-01-2025 17:40,3,Phone,T18,Confirmed,02-01-2025 17:36
R00137,G0604,02-06-2025 20:33,1,App,T13,Confirmed,02-06-2025 20:31
R00138,G0416,16-05-2025 13:17,7,App,T11,Confirmed,16-05-2025 13:13
R00139,G1001,02-01-2025 15:41,5,Web,T18,No-Show,NULL
R00140,G1525,17-03-2025 13:17,6,App,T08,Cancelled,NULL
R00141,G1687,30-05-2025 11:13,2,Kiosk,T11,Confirmed,30-05-2025 11:09
R00142,G0300,01-02-2025 17:40,1,Phone,T01,No-Show,NULL
R00143,G1078,08-05-2025 12:15,2,App,T07,Cancelled,NULL
R00144,G1264,22-04-2025 22:34,4,Web,T11,Confirmed,22-04-2025 22:33
R00145,G1250,16-04-2025 10:48,2,Kiosk,T06,Confirmed,16-04-2025 10:46
R00146,G1042,03-03-2025 15:54,5,Kiosk,T13,Confirmed,03-03-2025 15:45
R00147,G0486,29-04-2025 12:28,2,Kiosk,T16,No-Show,NULL
R00148,G0330,10-06-2025 20:10,3,Phone,T12,Confirmed,10-06-2025 20:00
R00149,G1871,14-06-2025 10:14,3,App,T06,No-Show,NULL
R00150,G1908,09-01-2025 21:40,1,App,T03,No-Show,NULL
R00151,G0140,05-02-2025 18:38,8,App,T07,Confirmed,05-02-2025 18:30
R00152,G2890,05-06-2025 20:41,2,Kiosk,T15,Confirmed,05-06-2025 20:36
R00153,G2307,27-03-2025 22:21,1,App,T20,Confirmed,27-03-2025 22:14
R00154,G1131,15-03-2025 15:22,1,Phone,T15,Confirmed,15-03-2025 15:19
R00155,G0614,04-06-2025 14:19,2,Phone,T20,Confirmed,04-06-2025 14:16
R00156,G2545,18-04-2025 15:47,5,Kiosk,T17,Confirmed,18-04-2025 15:41
R00157,G0501,16-05-2025 12:57,5,Kiosk,T11,Confirmed,16-05-2025 12:48
R00158,G2478,06-06-2025 10:29,2,Kiosk,T18,Confirmed,06-06-2025 10:19
R00159,G0257,12-03-2025 14:25,8,App,T06,No-Show,NULL
R00160,G0343,22-02-2025 19:18,1,App,T05,Confirmed,22-02-2025 19:09
R00161,G1749,28-02-2025 20:06,7,Phone,T10,Confirmed,28-02-2025 19:59
R00162,G0730,29-06-2025 11:05,3,Kiosk,T12,Confirmed,29-06-2025 10:57
R00163,G0518,09-05-2025 11:12,7,Web,T05,Confirmed,09-05-2025 11:11
R00164,G2669,17-04-2025 16:44,7,Kiosk,T07,Confirmed,17-04-2025 16:34
R00165,G1049,27-01-2025 18:17,7,Phone,T14,No-Show,NULL
R00166,G2538,18-02-2025 10:17,7,Web,T12,Confirmed,18-02-2025 10:10
R00167,G0818,24-06-2025 20:22,6,App,T05,Confirmed,24-06-2025 20:20
R00168,G2495,07-03-2025 15:02,5,Kiosk,T15,Confirmed,07-03-2025 15:01
R00169,G0531,20-05-2025 13:31,5,Web,T01,No-Show,NULL
R00170,G1541,28-04-2025 14:08,8,App,T08,Cancelled,NULL
R00171,G0069,22-02-2025 17:13,2,Kiosk,T08,Confirmed,22-02-2025 17:05
R00172,G0952,16-06-2025 15:28,8,Phone,T09,Confirmed,16-06-2025 15:21
R00173,G1465,01-01-2025 18:49,8,App,T17,Confirmed,01-01-2025 18:47
R00174,G2413,21-02-2025 22:51,7,Phone,T02,No-Show,NULL
R00175,G0776,09-01-2025 13:46,7,Web,T07,No-Show,NULL
R00176,G2409,10-06-2025 21:31,4,App,T10,No-Show,NULL
R00177,G0684,06-06-2025 17:00,7,App,T06,Confirmed,06-06-2025 16:58
R00178,G0921,12-05-2025 20:32,8,Web,T17,No-Show,NULL
R00179,G1354,21-05-2025 21:33,7,Kiosk,T14,Confirmed,21-05-2025 21:31
R00180,G1061,21-02-2025 12:51,5,Kiosk,T16,Confirmed,21-02-2025 12:49
R00181,G0085,20-02-2025 10:51,8,App,T03,No-Show,NULL
R00182,G0830,01-01-2025 19:04,5,App,T20,Confirmed,01-01-2025 18:59
R00183,G0339,06-06-2025 14:55,1,Web,T11,Confirmed,06-06-2025 14:55
R00184,G1731,11-06-2025 20:22,5,App,T19,Cancelled,NULL
R00185,G2714,17-04-2025 21:53,6,Kiosk,T18,No-Show,NULL
R00186,G1354,09-01-2025 13:31,2,Web,T13,Confirmed,09-01-2025 13:26
R00187,G1712,19-04-2025 22:44,4,Web,T09,Confirmed,19-04-2025 22:41
R00188,G2529,11-06-2025 21:21,2,Phone,T10,Confirmed,11-06-2025 21:13
R00189,G0670,27-04-2025 16:18,4,Kiosk,T07,Confirmed,27-04-2025 16:09
R00190,G1550,28-05-2025 12:51,2,Kiosk,T05,Confirmed,28-05-2025 12:41
R00191,G2185,06-06-2025 14:55,5,Phone,T19,No-Show,NULL
R00192,G1652,02-05-2025 18:01,8,App,T13,Confirmed,02-05-2025 17:55
R00193,G2372,29-06-2025 10:15,8,Web,T10,No-Show,NULL
R00194,G1537,20-06-2025 15:24,7,Kiosk,T01,Cancelled,NULL
R00195,G2756,25-05-2025 19:26,5,Kiosk,T02,No-Show,NULL
R00196,G1919,20-01-2025 13:33,2,App,T02,No-Show,NULL
R00197,G2125,20-06-2025 21:31,5,App,T14,No-Show,NULL
R00198,G2610,06-05-2025 14:20,3,Phone,T04,Cancelled,NULL
R00199,G1247,14-04-2025 14:29,5,Web,T02,Confirmed,14-04-2025 14:25
R00200,G0030,25-01-2025 15:41,6,Phone,T11,Confirmed,25-01-2025 15:35
R00201,G2267,18-01-2025 16:50,1,Phone,T03,Confirmed,18-01-2025 16:49
R00202,G0525,17-04-2025 14:31,4,Phone,T18,Confirmed,17-04-2025 14:27
R00203,G0798,09-06-2025 17:29,4,Web,T06,Cancelled,NULL
R00204,G2302,09-05-2025 15:35,4,Phone,T10,Confirmed,09-05-2025 15:32
R00205,G0699,28-03-2025 12:17,8,App,T10,Confirmed,28-03-2025 12:16
R00206,G2304,03-05-2025 22:18,4,App,T05,No-Show,NULL
R00207,G0643,14-02-2025 21:10,4,Web,T01,No-Show,NULL
R00208,G0313,04-01-2025 16:40,6,Kiosk,T13,No-Show,NULL
R00209,G1556,23-01-2025 18:36,1,Web,T14,Confirmed,23-01-2025 18:32
R00210,G2832,01-04-2025 20:26,7,Web,T01,Confirmed,01-04-2025 20:24
R00211,G1369,03-04-2025 20:48,6,App,T03,Confirmed,03-04-2025 20:41
R00212,G1942,04-04-2025 22:45,8,Kiosk,T13,Confirmed,04-04-2025 22:41
R00213,G2675,02-06-2025 15:28,2,Web,T10,No-Show,NULL
R00214,G0791,31-01-2025 13:28,6,Kiosk,T09,Cancelled,NULL
R00215,G2386,06-01-2025 18:13,3,Kiosk,T04,No-Show,NULL
R00216,G0307,27-01-2025 13:57,1,App,T10,Confirmed,27-01-2025 13:51
R00217,G0692,27-01-2025 19:48,6,Web,T07,Confirmed,27-01-2025 19:48
R00218,G0146,27-01-2025 20:37,1,Web,T04,No-Show,NULL
R00219,G1409,24-06-2025 22:13,4,Web,T08,Confirmed,24-06-2025 22:07
R00220,G1916,10-01-2025 16:22,8,Phone,T14,Cancelled,NULL
R00221,G1314,06-05-2025 18:50,1,Phone,T04,No-Show,NULL
R00222,G0453,14-05-2025 20:10,3,Phone,T17,Confirmed,14-05-2025 20:01
R00223,G0499,14-01-2025 15:41,6,Web,T19,Confirmed,14-01-2025 15:31
R00224,G2976,23-02-2025 20:39,2,App,T17,No-Show,NULL
R00225,G0790,22-03-2025 19:45,2,App,T07,Confirmed,22-03-2025 19:35
R00226,G0550,31-01-2025 10:21,4,Web,T11,Confirmed,31-01-2025 10:19
R00227,G2283,06-05-2025 17:21,8,App,T15,No-Show,NULL
R00228,G1440,04-05-2025 10:12,4,Web,T15,Cancelled,NULL
R00229,G2968,03-06-2025 10:53,2,Kiosk,T17,No-Show,NULL
R00230,G0857,13-02-2025 10:04,7,Kiosk,T20,Confirmed,13-02-2025 10:02
R00231,G2420,05-04-2025 14:53,2,App,T05,No-Show,NULL
R00232,G0090,09-01-2025 13:11,6,Kiosk,T10,Cancelled,NULL
R00233,G2866,04-01-2025 22:00,8,Kiosk,T14,Cancelled,NULL
R00234,G0478,11-01-2025 22:50,2,Web,T19,Confirmed,11-01-2025 22:41
R00235,G2972,04-04-2025 15:24,4,Kiosk,T06,Confirmed,04-04-2025 15:23
R00236,G2746,08-03-2025 18:09,5,App,T07,No-Show,NULL
R00237,G0686,19-02-2025 10:47,4,App,T06,Confirmed,19-02-2025 10:45
R00238,G0920,25-03-2025 15:46,3,Kiosk,T05,Cancelled,NULL
R00239,G0131,23-01-2025 17:57,2,Web,T11,Confirmed,23-01-2025 17:55
R00240,G2796,11-04-2025 12:38,4,Kiosk,T05,Confirmed,11-04-2025 12:32
R00241,G0371,10-01-2025 14:18,5,Kiosk,T05,Confirmed,10-01-2025 14:08
R00242,G0168,15-02-2025 10:45,1,Web,T03,Cancelled,NULL
R00243,G2829,06-02-2025 13:07,2,App,T08,Confirmed,06-02-2025 13:02
R00244,G1827,01-04-2025 21:28,2,Web,T14,Confirmed,01-04-2025 21:28
R00245,G1534,20-03-2025 19:43,3,Web,T10,No-Show,NULL
R00246,G1044,11-06-2025 15:24,3,Web,T11,Confirmed,11-06-2025 15:24
R00247,G2743,11-01-2025 22:30,7,App,T10,Cancelled,NULL
R00248,G2724,25-06-2025 11:59,3,App,T02,Confirmed,25-06-2025 11:57
R00249,G1561,22-01-2025 11:41,1,Kiosk,T01,Confirmed,22-01-2025 11:40
R00250,G0268,24-06-2025 19:12,6,Web,T14,Confirmed,24-06-2025 19:05
R00251,G1847,31-05-2025 21:16,1,App,T06,Confirmed,31-05-2025 21:07
R00252,G0335,09-03-2025 22:18,5,Phone,T12,Confirmed,09-03-2025 22:17
R00253,G1522,26-03-2025 16:18,4,Phone,T20,No-Show,NULL
R00254,G2418,13-06-2025 16:48,8,Phone,T18,Confirmed,13-06-2025 16:46
R00255,G2479,06-02-2025 21:53,8,Kiosk,T06,No-Show,NULL
R00256,G1470,17-02-2025 13:33,6,App,T17,Confirmed,17-02-2025 13:27
R00257,G1505,06-06-2025 17:20,2,App,T18,Confirmed,06-06-2025 17:13
R00258,G1714,09-02-2025 13:50,3,Kiosk,T04,Confirmed,09-02-2025 13:45
R00259,G2854,22-04-2025 11:02,6,Kiosk,T01,No-Show,NULL
R00260,G1078,11-03-2025 11:07,6,Web,T20,No-Show,NULL
R00261,G0046,22-02-2025 22:16,3,App,T01,No-Show,NULL
R00262,G0802,01-02-2025 11:41,1,Phone,T09,No-Show,NULL
R00263,G2025,03-02-2025 12:01,7,Phone,T06,Cancelled,NULL
R00264,G2027,25-06-2025 18:16,4,Kiosk,T12,No-Show,NULL
R00265,G2965,01-03-2025 22:30,5,Phone,T16,Confirmed,01-03-2025 22:30
R00266,G2332,28-05-2025 10:05,6,Kiosk,T07,Cancelled,NULL
R00267,G1310,21-05-2025 14:07,1,Web,T01,Confirmed,21-05-2025 14:03
R00268,G0465,24-05-2025 16:13,4,App,T17,Confirmed,24-05-2025 16:08
R00269,G1571,03-04-2025 11:16,8,App,T05,Confirmed,03-04-2025 11:11
R00270,G2922,14-02-2025 19:10,7,Kiosk,T20,Confirmed,14-02-2025 19:03
R00271,G2761,10-02-2025 10:34,5,Web,T15,Confirmed,10-02-2025 10:29
R00272,G0105,30-06-2025 22:07,2,App,T17,Confirmed,30-06-2025 21:59
R00273,G0776,17-02-2025 13:49,6,App,T18,Confirmed,17-02-2025 13:41
R00274,G2715,03-03-2025 12:12,2,Phone,T10,No-Show,NULL
R00275,G0097,29-06-2025 21:57,8,Phone,T10,No-Show,NULL
R00276,G0096,24-05-2025 22:18,1,App,T02,Confirmed,24-05-2025 22:15
R00277,G0903,20-02-2025 17:32,3,Kiosk,T04,No-Show,NULL
R00278,G2056,23-02-2025 12:51,3,App,T15,No-Show,NULL
R00279,G2122,05-02-2025 13:37,1,Web,T09,Confirmed,05-02-2025 13:35
R00280,G2341,10-05-2025 15:55,3,App,T16,Cancelled,NULL
R00281,G2981,25-04-2025 18:49,7,Phone,T06,Confirmed,25-04-2025 18:48
R00282,G0395,03-04-2025 14:39,8,Phone,T05,No-Show,NULL
R00283,G2854,13-06-2025 10:06,8,Kiosk,T01,Confirmed,13-06-2025 09:56
R00284,G1836,09-04-2025 19:05,1,Kiosk,T12,Confirmed,09-04-2025 18:58
R00285,G1976,22-02-2025 22:05,6,App,T09,Cancelled,NULL
R00286,G0840,22-02-2025 20:00,7,Kiosk,T13,Confirmed,22-02-2025 19:57
R00287,G2825,13-02-2025 20:50,7,App,T12,Confirmed,13-02-2025 20:47
R00288,G1494,12-06-2025 15:09,4,Phone,T02,Cancelled,NULL
R00289,G0460,05-06-2025 16:24,4,Web,T10,Confirmed,05-06-2025 16:18
R00290,G0212,07-01-2025 21:49,8,Kiosk,T03,Confirmed,07-01-2025 21:39
R00291,G0831,21-05-2025 21:37,1,App,T17,Confirmed,21-05-2025 21:34
R00292,G0453,15-02-2025 20:39,8,Web,T15,Confirmed,15-02-2025 20:36
R00293,G2078,03-02-2025 15:57,1,Phone,T10,Confirmed,03-02-2025 15:55
R00294,G1297,08-01-2025 15:18,8,App,T11,Confirmed,08-01-2025 15:16
R00295,G1133,15-03-2025 16:38,5,App,T10,Confirmed,15-03-2025 16:31
R00296,G1004,10-06-2025 17:32,7,Kiosk,T13,Confirmed,10-06-2025 17:23
R00297,G2482,14-05-2025 14:56,6,App,T17,Confirmed,14-05-2025 14:51
R00298,G2287,01-02-2025 17:59,8,App,T01,Confirmed,01-02-2025 17:52
R00299,G1756,20-06-2025 22:59,8,Web,T11,Confirmed,20-06-2025 22:51
R00300,G2227,09-06-2025 18:08,2,Web,T05,Confirmed,09-06-2025 17:59
R00301,G2869,10-04-2025 17:13,1,App,T03,No-Show,NULL
R00302,G2296,30-04-2025 22:09,7,App,T01,No-Show,NULL
R00303,G2318,04-01-2025 16:14,8,Phone,T03,No-Show,NULL
R00304,G2615,27-01-2025 16:38,8,Kiosk,T09,No-Show,NULL
R00305,G0323,09-01-2025 20:25,2,Web,T19,Confirmed,09-01-2025 20:21
R00306,G1988,02-06-2025 20:54,7,Phone,T13,Confirmed,02-06-2025 20:45
R00307,G2643,27-03-2025 12:48,7,Kiosk,T05,Cancelled,NULL
R00308,G2880,06-04-2025 12:50,7,Phone,T12,Confirmed,06-04-2025 12:41
R00309,G1445,18-03-2025 16:11,6,Kiosk,T11,Confirmed,18-03-2025 16:07
R00310,G2664,01-01-2025 19:24,5,Phone,T01,Confirmed,01-01-2025 19:21
R00311,G0549,21-05-2025 15:11,8,Phone,T15,No-Show,NULL
R00312,G1626,02-02-2025 11:18,7,Phone,T12,Confirmed,02-02-2025 11:15
R00313,G0221,17-05-2025 18:37,5,Web,T15,Confirmed,17-05-2025 18:36
R00314,G1926,24-05-2025 11:51,2,Kiosk,T07,No-Show,NULL
R00315,G0029,01-05-2025 17:24,1,Web,T10,Confirmed,01-05-2025 17:18
R00316,G1771,01-01-2025 20:23,3,App,T17,No-Show,NULL
R00317,G2844,24-06-2025 16:30,1,Web,T08,Cancelled,NULL
R00318,G0082,20-01-2025 10:59,8,Web,T04,Cancelled,NULL
R00319,G1911,16-03-2025 18:29,7,Web,T20,Confirmed,16-03-2025 18:26
R00320,G1276,18-04-2025 16:15,5,Kiosk,T18,Confirmed,18-04-2025 16:14
R00321,G2814,17-05-2025 12:15,8,Kiosk,T18,Confirmed,17-05-2025 12:09
R00322,G0861,22-03-2025 17:06,1,Kiosk,T16,Confirmed,22-03-2025 17:04
R00323,G0587,20-02-2025 12:42,3,App,T07,Confirmed,20-02-2025 12:32
R00324,G1669,13-05-2025 15:37,5,Web,T14,Confirmed,13-05-2025 15:37
R00325,G0892,17-04-2025 19:53,1,App,T10,Confirmed,17-04-2025 19:48
R00326,G2316,24-05-2025 11:57,3,App,T13,Confirmed,24-05-2025 11:49
R00327,G0002,10-06-2025 21:25,8,Phone,T11,Confirmed,10-06-2025 21:16
R00328,G2729,17-06-2025 18:45,7,App,T08,No-Show,NULL
R00329,G2686,06-06-2025 10:54,2,Kiosk,T13,No-Show,NULL
R00330,G0146,13-04-2025 17:31,7,Phone,T18,Confirmed,13-04-2025 17:25
R00331,G1838,08-02-2025 15:19,2,Web,T13,Confirmed,08-02-2025 15:14
